Item;Tipo de resolución;N° de resolución;Año;Fecha;Organización Deportiva;Distrito;Provincia;Dpto;Base legal;Procedimiento;Afiliación;Disciplina;Lugar de registro;N° partida;Caja;PQTE;Observación 1;Observación 2
609;RENADE;538-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO LOS CREMAS;SAN JUAN DE MIRAFLORES;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE SAN JUAN DE MIRAFLORES;FUTBOL;LIBRO DE CLUBES RDIPD;0538-54-86;175;536-600;;
610;RENADE;539-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO CULTURAL ESTUDIANTES UNIDOS;INDEPENDENCIA;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGAS DE FUTBOL Y VOLEIBOL DEL DISTRITO DE INDEPENDENCIA;FUTBOL Y VOLEIBOL;LIBRO DE CLUBES RDIPD;0539-54-86;175;536-600;;
611;RENADE;540-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO SOCIAL LOS SANTOS;SAN JUAN DE MIRAFLORES;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE SAN JUAN DE MIRAFLORES;FUTBOL;LIBRO DE CLUBES RDIPD;0540-54-86;175;536-600;;
612;RENADE;541-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO SAN ANDRES;ATE VITARTE;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL AMATEUR DE ATE VITARTE;FUTBOL;LIBRO DE CLUBES RDIPD;0541-55-86;175;536-600;;
613;RENADE;542-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO ALTO PERU;CHORRILLOS;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHORRILLOS;FUTBOL;LIBRO DE CLUBES RDIPD;0542-55-86;175;536-600;;
614;RENADE;543-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO CESAR VALLEJO;CHORRILLOS;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHORRILLOS;FUTBOL;LIBRO DE CLUBES RDIPD;0543-55-86;175;536-600;;
615;RENADE;544-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO BARCELONA;SAN MIGUEL;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE SAN MIGUEL;FUTBOL;LIBRO DE CLUBES RDIPD;0544-55-86;175;536-600;;
616;RENADE;545-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO SPORT VALENCIA;BARRANCA;BARRANCA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE BARRANCA;FUTBOL;LIBRO DE CLUBES RDIPD;0545-55-86;175;536-600;;
617;RENADE;546-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO JUVENTUD COSMOS;BARRANCA;BARRANCA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE BARRANCA;FUTBOL;LIBRO DE CLUBES RDIPD;0546-55-86;175;536-600;;
618;RENADE;547-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO SPORT REPRESENTATIVO ZAVALA;BARRANCA;BARRANCA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE BARRANCA;FUTBOL;LIBRO DE CLUBES RDIPD;0547-55-86;175;536-600;;
619;RENADE;548-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO JOSE GALVEZ;LINCE;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE LINCE;FUTBOL;LIBRO DE CLUBES RDIPD;0548-55-86;175;536-600;;
620;RENADE;549-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO ASOCIACION DEPORTIVA Y RECREACIONAL DE LOS TRABAJADORES DE ELECTROLIMA;CERCADO DE LIMA ;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CERCADO DE LIMA;FUTBOL;LIBRO DE CLUBES RDIPD;0549-55-86;175;536-600;;
621;RENADE;550-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVA HURACAN;BARRANCA;BARRANCA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE BARRANCA;FUTBOL;LIBRO DE CLUBES RDIPD;0550-55-86;175;536-600;;
622;RENADE;551-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO SPORT ALIANZA AURORA;BARRANCA;BARRANCA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE BARRANCA;FUTBOL;LIBRO DE CLUBES RDIPD;0551-56-86;175;536-600;;
623;RENADE;552-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO INDEPENDIENTE RICARDO HERRERA;LIMA;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CERCADO DE LIMA;FUTBOL;LIBRO DE CLUBES RDIPD;0552-56-86;175;536-600;;
624;RENADE;553-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO LARI;LINCE;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE LINCE;FUTBOL;LIBRO DE CLUBES RDIPD;0553-56-86;175;536-600;;
625;RENADE;554-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO FEDERICO VILLAREAL;MIRAFLORES;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE MIRAFLORES;FUTBOL;LIBRO DE CLUBES RDIPD;0554-56-86;175;536-600;;
626;RENADE;555-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO MARISCAL CASTILLA;VILLA EL SALVADOR;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE VILLA EL SALVADOR ;FUTBOL;LIBRO DE CLUBES RDIPD;0555-56-86;175;536-600;;
627;RENADE;556-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO CULTURAL DANUBIO;COMAS;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE COMAS;FUTBOL;LIBRO DE CLUBES RDIPD;0556-56-86;175;536-600;;
628;RENADE;557-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO RACING CLUB;CARABAYLLO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CARABAYLLO;FUTBOL;LIBRO DE CLUBES RDIPD;0557-56-86;175;536-600;;
629;RENADE;558-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO CULTURAL GEMINIS;COMAS;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGAS DISTRITALES DE VOLEIBOL Y FUTBOL DE COMAS;VOLEIBOL Y FUTBOL;LIBRO DE CLUBES RDIPD;0558-56-86;175;536-600;;
630;RENADE;559-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO 24 DE DICIEMBRE;SAN JUAN DE MIRAFLORES;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE SAN JUAN DE MIRAFLORES;FUTBOL;LIBRO DE CLUBES RDIPD;0559-56-86;175;536-600;;
631;RENADE;560-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO CULTURAL MERCADO DE ERMITAÑO LTDA. 175;INDEPENDENCIA;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE INDEPENDENCIA;FUTBOL;LIBRO DE CLUBES RDIPD;0560-56-86;175;536-600;;
632;RENADE;561-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO CULTURAL LAS VEGAS;CERCADO DE LIMA ;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CERCADO DE LIMA;FUTBOL;LIBRO DE CLUBES RDIPD;0561-57-86;175;536-600;;
633;RENADE;562-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO SOCIAL SPORT RIMENSE ;LURIGANCHO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL AMATEUR DE CHOSICA;FUTBOL;LIBRO DE CLUBES RDIPD;0562-57-86;175;536-600;;
634;RENADE;563-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO JUVENTUD UNIDA F.B.C.;SAN JUAN DE LURIGANCHO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE SAN JUAN DE MIRAFLORES;FUTBOL;LIBRO DE CLUBES RDIPD;0563-57-86;175;536-600;;
635;RENADE;564-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO DEFENSOR RIMAC;LURIGANCHO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL AMATEUR DE CHOSICA;FUTBOL;LIBRO DE CLUBES RDIPD;0564-57-86;175;536-600;;
636;RENADE;565-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO JUVENTUD LUCANAS;CHORRILLOS;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHORRILLOS;FUTBOL;LIBRO DE CLUBES RDIPD;0565-57-86;175;536-600;;
637;RENADE;566-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO SOCIAL SPORT MILAN;LURIGANCHO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL AMATEUR DE CHOSICA;FUTBOL;LIBRO DE CLUBES RDIPD;0566-57-86;175;536-600;;
638;RENADE;567-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO SOCIAL BENJAMIN VIZQUERRA M.;HUARAL;HUARAL;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE HUARAL;FUTBOL;LIBRO DE CLUBES RDIPD;0567-57-86;175;536-600;;
639;RENADE;568-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO SOCIAL SPORT BARRANCA;BARRANCA;BARRANCA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE BARRANCA;FUTBOL;LIBRO DE CLUBES RDIPD;0568-57-86;175;536-600;;
640;RENADE;569-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO ATLETICO RACING;LURIN;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE LURIN;FUTBOL;LIBRO DE CLUBES RDIPD;0569-57-86;175;536-600;;
641;RENADE;570-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO ESCORPION;CARABAYLLO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CARABAYLLO;FUTBOL;LIBRO DE CLUBES RDIPD;0570-57-86;175;536-600;;
642;RENADE;571-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO HUACAN;BARRANCA;BARRANCA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE BARRANCA;FUTBOL;LIBRO DE CLUBES RDIPD;0571-58-86;175;536-600;;
643;RENADE;572-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO REAL MADRID;CHACLACAYO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHACLACAYO;FUTBOL;LIBRO DE CLUBES RDIPD;0572-58-86;175;536-600;;
644;RENADE;573-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO UNION PORVENIR PARIACHE;CHACLACAYO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHACLACAYO;FUTBOL;LIBRO DE CLUBES RDIPD;0573-58-86;175;536-600;;
645;RENADE;574-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO JUVENTUD HUASCAR PAPELERA ATLAS;CHACLACAYO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHACLACAYO;FUTBOL;LIBRO DE CLUBES RDIPD;0574-58-86;175;536-600;;
646;RENADE;575-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO UNION NISEY LA CAPITANA;CHACLACAYO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHACLACAYO;FUTBOL;LIBRO DE CLUBES RDIPD;0575-58-86;175;536-600;;
647;RENADE;576-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO HURACAN DE ALTO PERU-ÑAÑA;CHACLACAYO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHACLACAYO;FUTBOL;LIBRO DE CLUBES RDIPD;0576-58-86;175;536-600;;
648;RENADE;577-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO AMISTAD;CHACLACAYO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHACLACAYO;FUTBOL;LIBRO DE CLUBES RDIPD;0577-58-86;175;536-600;;
649;RENADE;578-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO CIRCOLO SPORTIVO PARAMONGA;PARAMONGA;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE PARAMONGA;FUTBOL;LIBRO DE CLUBES RDIPD;0578-58-86;175;536-600;;
650;RENADE;579-DINADAF-RD-86;1986;15/06/1986;CLUB DEPRTIVO SOCIAL HUANDO;HUARAL;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE HUARAL;FUTBOL;LIBRO DE CLUBES RDIPD;0579-58-86;175;536-600;;
651;RENADE;580-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO OLIMPICO;COMAS;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE COMAS;FUTBOL;LIBRO DE CLUBES RDIPD;0580-58-86;175;536-600;;
652;RENADE;581-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO SOCIAL REAL CLUB SABATINO;LURIGANCHO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL AMATEUR DE CHOSICA;FUTBOL;LIBRO DE CLUBES RDIPD;0581-59-86;175;536-600;;
653;RENADE;582-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO SAN FRANCISCO DE SALES;LURIGANCHO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL AMATEUR DE CHOSICA;FUTBOL;LIBRO DE CLUBES RDIPD;0582-59-86;175;536-600;;
654;RENADE;583-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO DEFENSOR SANTO DOMINGO;LURIGANCHO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL AMATEUR DE CHOSICA;FUTBOL;LIBRO DE CLUBES RDIPD;0583-59-86;175;536-600;;
655;RENADE;584-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO RIVER PLATE;LURIGANCHO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL AMATEUR DE CHOSICA;FUTBOL;LIBRO DE CLUBES RDIPD;0584-59-86;175;536-600;;
656;RENADE;585-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO CINCO ESQUINAS;LURIGANCHO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL AMATEUR DE CHOSICA;FUTBOL;LIBRO DE CLUBES RDIPD;0585-59-86;175;536-600;;
657;RENADE;586-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO UNION JUVENTUD PRIMERO DE ENERO;LURIGANCHO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL AMATEUR DE CHOSICA;FUTBOL;LIBRO DE CLUBES RDIPD;0586-59-86;175;536-600;;
658;RENADE;587-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO CLINICA SAN ANTONIO;LURIGANCHO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL AMATEUR DE CHOSICA;FUTBOL;LIBRO DE CLUBES RDIPD;0587-59-86;175;536-600;;
659;RENADE;588-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO CRUZEIRO;LURIGANCHO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL AMATEUR DE CHOSICA;FUTBOL;LIBRO DE CLUBES RDIPD;0588-59-86;175;536-600;;
660;RENADE;589-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO TOURING Y AUTOMOVIL CLUB DEL PERU;LINCE;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;FEDERACION PERUANA DE AUTOMOVILISMO DEPORTIVO;AUTOMOVILISMO;LIBRO DE CLUBES RDIPD;0589-59-86;175;536-600;;
661;RENADE;590-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO C.S.D. UNION MINAS CENTROMIN PERU;CHAUPIMARCA;PASCO;PASCO;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;FEDERACION PERUANA DE FUTBOL Y ASOCIACION DEPORTIVA DE FUTBOL PROFESIONAL;FUTBOL;LIBRO DE CLUBES RDIPD;0590-59-86;175;536-600;;
662;RENADE;591-DINADAF-RD-86;1986;15/06/1986;CLUB DEPRTIVO CULTURAL SAN CARLOS;CERCADO DE LIMA ;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CERCADO DE LIMA;FUTBOL;LIBRO DE CLUBES RDIPD;0591-60-86;175;536-600;;
663;RENADE;592-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO ESTRELLA;CERCADO DE LIMA ;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CERCADO DE LIMA;FUTBOL;LIBRO DE CLUBES RDIPD;0593-60-86;175;536-600;;
664;RENADE;593-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO DEFENSOR VARELA;MIRAFLORES;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE MIRAFLORES;FUTBOL;LIBRO DE CLUBES RDIPD;0593-60-86;175;536-600;;
665;RENADE;594-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO DEFENSOR CUIDAD DE DIOS;SAN JUAN DE MIRAFLORES;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE SAN JUAN DE MIRAFLORES;FUTBOL;LIBRO DE CLUBES RDIPD;0594-60-86;175;536-600;;
666;RENADE;595-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO DEFENSOR SAN ANTONIO;CHORRILLOS;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHORRILLOS;FUTBOL;LIBRO DE CLUBES RDIPD;0595-60-86;175;536-600;;
667;RENADE;596-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO CENTRO DEPORTIVO MUNICIPAL;LIMA;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;FEDERACION PERUANA DE FUTBOL;FUTBOL;LIBRO DE CLUBES RDIPD;0596-AD-86;175;536-600;;
668;RENADE;597-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO UNION MUTUALISTA DEPORTIVO MUNICIPAL;SAN ISIDRO;LIMA ;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE SAN ISIDRO;FUTBOL;LIBRO DE CLUBES RDIPD;0597-60-86;175;536-600;;
669;RENADE;598-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO UNION ATLETICO SANTA MARTHA;VITARTE;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL AMATEUR DE ATE VITARTE;FUTBOL;LIBRO DE CLUBES RDIPD;0598-60-86;175;536-600;;
670;RENADE;599-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO DEFENSOR ONCE ESTRELLAS;COMAS;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE COMAS;FUTBOL;LIBRO DE CLUBES RDIPD;0599-60-86;175;536-600;;
671;RENADE;600-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;LIMA;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED ;INSCRIPCION PRIMIGENIA;FEDERACION PERUANA DE VOLEIBOL;VOLEIBOL;LIBRO DE CLUBES RDIPD;0600-60-86;175;536-600;;
672;RENADE;601-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO, SOCIAL CULTURAL DEFENSRO PAMPLONA;SAN JUAN DE MIRAFLORES;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE SAN JUAN DE MIRAFLORES;FUTBOL;LIBRO DE CLUBES RDIPD;0601-61-86;175;601-650;;
673;RENADE;602-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO SAN MARTIN;EL AGUSTINO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DE VOLEIBOL DE EL AGUSTINO;VOLEIBOL;LIBRO DE CLUBES RDIPD;0602-61-86;175;601-650;;
674;RENADE;603-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO SOCIAL I.N.E.I.-46;VITARTE;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL AMATEUR DE ATE VITARTE;FUTBOL;LIBRO DE CLUBES RDIPD;0603-61-86;175;601-650;;
675;RENADE;604-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO ESTRELLA VITARTE;VITARTE;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL AMATEUR DE ATE VITARTE;FUTBOL;LIBRO DE CLUBES RDIPD;0604-61-06;175;601-650;;
676;RENADE;605-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO 1° DE MAYO;EL AGUSTINO;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DE FUTBOL DE EL AGUSTINO;FUTBOL;LIBRO DE CLUBES RDIPD;0605-61-86;175;601-650;;
677;RENADE;606-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO ATLETICO OLIMPIA CHORRILLOS;CHORRILLOS;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHORRILLOS;FUTBOL;LIBRO DE CLUBES RDIPD;0606-61-86;175;601-650;;
678;RENADE;607-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO, DEFENSOR ATLETICO RAMON ZAVALA CHORRILLOS;CHORRILLOS;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHORRILLOS;FUTBOL;LIBRO DE CLUBES RDIPD;0607-61-86;175;601-650;;
679;RENADE;608-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO SPORT BOYS CHORRILLOS;CHORRILLOS;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHORRILLOS;FUTBOL;LIBRO DE CLUBES RDIPD;0608-61-86;175;601-650;;
680;RENADE;609-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO DYNANO;HUARAL;CHANCAY;LIMA;DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE HUARAL;FUTBOL;LIBRO DE CLUBES RDIPD;0609-61-86;175;601-650;;
681;RENADE;610-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO LAS AGUILAS;SAN LUIS;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE BEISBOL DE SAN LUIS;BEISBOL;LIBRO DE CLUBES RDIPD;0610-61-86;175;601-650;;
682;RENADE;611-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO JUVENTUD SAN PEDRO;INDEPENDENCIA;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE INDEPENDENCIA;FUTBOL;LIBRO DE CLUBES RDIPD;0611-62-86;175;601-650;;
